,base_market,quote_market,hedge_ratio,half_life
0,AAVE-USD,ENJ-USD,206.44583480534848,16.0
1,AAVE-USD,CRV-USD,85.73542552338107,24.0
2,ZEC-USD,ALGO-USD,194.64553922270215,16.0
3,ZEC-USD,ADA-USD,127.12205853839939,11.0
4,ZEC-USD,ENJ-USD,114.2231481344931,22.0
5,ZEC-USD,SNX-USD,19.563457530330908,19.0
6,ZEC-USD,XTZ-USD,43.52698581112342,14.0
7,ZEC-USD,DOT-USD,7.487571219549834,6.0
8,ZEC-USD,LTC-USD,0.5234141089851616,7.0
9,ALGO-USD,1INCH-USD,0.4706502769976695,6.0
10,ALGO-USD,SUSHI-USD,0.18438848488598159,4.0
11,ALGO-USD,ATOM-USD,0.01843097962679985,12.0
12,ALGO-USD,LINK-USD,0.03431934439580813,4.0
13,ALGO-USD,NEAR-USD,0.10146259473482323,13.0
14,ALGO-USD,BCH-USD,0.0018394122161449116,11.0
15,ALGO-USD,XLM-USD,2.641371919725269,7.0
16,ETH-USD,UMA-USD,814.79623391774,1.0
17,ETH-USD,1INCH-USD,3157.275577882553,1.0
18,ETH-USD,SOL-USD,67.55706134941653,2.0
19,ETH-USD,ADA-USD,4381.203713585325,1.0
20,ETH-USD,ENJ-USD,3939.2390487161024,2.0
21,ETH-USD,CRV-USD,1634.9630609409421,3.0
22,ETH-USD,SNX-USD,674.5874102178295,2.0
23,ETH-USD,SUSHI-USD,1237.6685355434158,1.0
24,ETH-USD,FIL-USD,319.0361876679957,3.0
25,ETH-USD,CELO-USD,2257.9405480272108,2.0
26,ETH-USD,ATOM-USD,123.72322143822672,1.0
27,ETH-USD,XTZ-USD,1500.6862227884826,1.0
28,ETH-USD,BTC-USD,0.07201068156016363,1.0
29,ETH-USD,LINK-USD,230.39016247130232,1.0
30,ETH-USD,COMP-USD,31.125026422735434,2.0
31,ETH-USD,YFI-USD,0.21904428087929262,1.0
32,ETH-USD,ICP-USD,291.1446557620651,2.0
33,ETH-USD,DOT-USD,258.2059536569955,1.0
34,ETH-USD,DOGE-USD,18526.70616148058,1.0
35,ETH-USD,TRX-USD,25637.54848463863,1.0
36,ETH-USD,NEAR-USD,680.2525535447855,2.0
37,ETH-USD,EOS-USD,1504.3105788328494,1.0
38,ETH-USD,ZRX-USD,7276.081956231821,1.0
39,ETH-USD,MKR-USD,2.306827899169687,1.0
40,ETH-USD,UNI-USD,241.84544419917813,1.0
41,ETH-USD,ETC-USD,72.09405418568755,1.0
42,ETH-USD,LTC-USD,18.037265677254126,1.0
43,ETH-USD,XMR-USD,9.148374129034272,1.0
44,ETH-USD,MATIC-USD,1575.2267252801992,1.0
45,ETH-USD,BCH-USD,12.34688305562775,1.0
46,ETH-USD,AVAX-USD,91.81531187734718,1.0
47,ETH-USD,XLM-USD,17729.198728826985,1.0
48,ETH-USD,RUNE-USD,909.1689495535256,1.0
49,UMA-USD,FIL-USD,0.3918431211951439,17.0
50,UMA-USD,BTC-USD,8.831589235204291e-05,5.0
51,UMA-USD,ICP-USD,0.3573160367599076,10.0
52,UMA-USD,DOT-USD,0.3166156220006489,4.0
53,UMA-USD,NEAR-USD,0.835136987199618,12.0
54,UMA-USD,ZRX-USD,8.925854703141066,7.0
55,UMA-USD,AVAX-USD,0.11259969474095298,7.0
56,1INCH-USD,FIL-USD,0.10114230966358483,21.0
57,1INCH-USD,BCH-USD,0.0039074562997900965,12.0
58,1INCH-USD,XLM-USD,5.6109277581564445,10.0
59,SOL-USD,SUSHI-USD,18.279384082445194,13.0
60,SOL-USD,FIL-USD,4.722933461828501,23.0
61,SOL-USD,CELO-USD,33.39516859770749,11.0
62,SOL-USD,ATOM-USD,1.826151491646022,18.0
63,SOL-USD,XTZ-USD,22.180235452165043,9.0
64,SOL-USD,LINK-USD,3.400944346314919,11.0
65,SOL-USD,COMP-USD,0.4603576233828784,6.0
66,SOL-USD,ICP-USD,4.30496006872226,17.0
67,SOL-USD,DOT-USD,3.8145385559599925,5.0
68,SOL-USD,DOGE-USD,273.3381900908465,21.0
69,SOL-USD,EOS-USD,22.205786006057863,21.0
70,SOL-USD,ZRX-USD,107.54144528142587,11.0
71,SOL-USD,LTC-USD,0.26604562946957233,22.0
72,SOL-USD,MATIC-USD,23.258736580791624,10.0
73,SOL-USD,BCH-USD,0.18222714534448123,20.0
74,SOL-USD,XLM-USD,261.7393558431611,19.0
75,SOL-USD,RUNE-USD,13.424710413738579,2.0
76,ADA-USD,FIL-USD,0.07288107282655872,23.0
77,ADA-USD,ATOM-USD,0.028229988931608822,8.0
78,ADA-USD,LINK-USD,0.052567929442813716,2.0
79,ADA-USD,DOT-USD,0.05890979286943488,4.0
80,ADA-USD,BCH-USD,0.0028175535906802282,5.0
81,ADA-USD,AVAX-USD,0.020952678739806455,5.0
82,ENJ-USD,CRV-USD,0.4149644255567637,10.0
83,ENJ-USD,SNX-USD,0.1709732457213262,8.0
84,CRV-USD,SNX-USD,0.411415619719075,12.0
85,CRV-USD,BTC-USD,4.381090576035367e-05,23.0
86,CRV-USD,ZRX-USD,4.431530629698435,13.0
87,SUSHI-USD,CELO-USD,1.8250898691266988,12.0
88,SUSHI-USD,ATOM-USD,0.09994235459297322,8.0
89,SUSHI-USD,XTZ-USD,1.2123874658250073,7.0
90,SUSHI-USD,BTC-USD,5.81566047368895e-05,12.0
91,SUSHI-USD,LINK-USD,0.18610155925833488,3.0
92,SUSHI-USD,YFI-USD,0.00017697009590300077,10.0
93,SUSHI-USD,ICP-USD,0.23525849737219867,22.0
94,SUSHI-USD,DOT-USD,0.20854881357015678,4.0
95,SUSHI-USD,NEAR-USD,0.5500015704644045,17.0
96,SUSHI-USD,UNI-USD,0.1953202050338653,8.0
97,SUSHI-USD,LTC-USD,0.014564344959604894,12.0
98,SUSHI-USD,XMR-USD,0.007387859152821766,12.0
99,SUSHI-USD,BCH-USD,0.009973295561678329,9.0
100,SUSHI-USD,AVAX-USD,0.07417288413550949,8.0
101,SUSHI-USD,XLM-USD,14.32156306461357,7.0
102,FIL-USD,ICP-USD,0.9102179913215157,9.0
103,FIL-USD,NEAR-USD,2.1289770377569024,6.0
104,FIL-USD,ZRX-USD,22.725913293804055,13.0
105,CELO-USD,AVAX-USD,0.040536770097513546,9.0
106,ATOM-USD,XTZ-USD,12.122781351269737,14.0
107,ATOM-USD,BTC-USD,0.0005816321317430752,16.0
108,ATOM-USD,LINK-USD,1.861533357376827,3.0
109,ATOM-USD,NEAR-USD,5.4981247861613225,21.0
110,ATOM-USD,EOS-USD,12.156892642921155,7.0
111,ATOM-USD,LTC-USD,0.14572175726561754,11.0
112,ATOM-USD,XMR-USD,0.07391652689322074,11.0
113,ATOM-USD,XLM-USD,143.2443149819694,11.0
114,XTZ-USD,BTC-USD,4.796460258435397e-05,6.0
115,XTZ-USD,LINK-USD,0.15339667816961775,6.0
116,XTZ-USD,ICP-USD,0.19407755216785394,10.0
